,index,url,book_id,title,award_count,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place,normalise_mean
0,0,https://www.goodreads.com/book/show/16046121-after-forever-ends,16046121.0,After Forever Ends,0,Melodie Ramone,4.04,1489,1489,564,2012.0,False,"Romance, Contemporary, Fiction, Fantasy, Womens Fiction, Chick Lit, Young Adult, Coming Of Age, Literary Fiction, Romance, Contemporary Romance, Young Adult, Womens Fiction",nan,nan,5.404107290885406
1,1,https://www.goodreads.com/book/show/9849568-the-human-obsession,9849568.0,The Human Obsession,0,Heath Sommer,4.14,182,182,314,2010.0,True,"Mystery, Psychology, Fiction, Mystery, Crime",nan,nan,5.6963150830931975
2,2,https://www.goodreads.com/book/show/5152561-fragile-eternity,5152561.0,Fragile Eternity,1,Melissa Marr,3.84,41977,41977,389,2009.0,True,"Young Adult, Fantasy, Fantasy, Paranormal, Romance, Paranormal, Fairies, Fantasy, Urban Fantasy, Fairies, Fae, Fiction, Romance, Paranormal Romance, Fantasy, Magic",Goodreads Choice Award Nominee for Young Adult Series (2009),nan,4.819691706469821
3,3,https://www.goodreads.com/book/show/84145.Dance_with_the_Devil,84145.0,Dance with the Devil,7,Sherrilyn Kenyon,4.37,62339,62339,361,2003.0,True,"Romance, Paranormal Romance, Fantasy, Paranormal, Romance, Fantasy, Paranormal, Vampires, Fantasy, Urban Fantasy, Adult, Fantasy, Mythology, Fantasy, Supernatural, Fiction","All About Romance (AAR) Annual Reader Poll for Most Tortured Hero (2004), HOLT Medallion by Virginia Romance Writers Nominee for Paranormal/Time Travel/Futuristic  (2004), Desert Rose Golden Quill Award for Best Paranormal (2003), Booksellers' Best Award for Best Paranormal (2003), RIO Award of Excellence by Reviewers International Organization for Favorite Paranormal (2003), PRISM Award by Fantasy, Futuristic and Paranormal Special Interest Chapter of RWA for Best Dark Paranormal (2004)","Fairbanks, Alaska",6.3683930051711215
4,4,https://www.goodreads.com/book/show/56313556-making-hearts,56313556.0,Making Hearts,0,Jack Getze,4.29,2648,2648,148,2020.0,False,"Contemporary, Drama, Novels, Fiction, Epic",nan,nan,6.1346267714048865
5,5,https://www.goodreads.com/book/show/768889.A_Storm_of_Swords,768889.0,A Storm of Swords: Steel and Snow,0,George R.R. Martin,4.43,74775,74775,663,2000.0,True,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Young Adult, Adventure, Adult, Childrens, Fantasy, Dragons, Childrens, Middle Grade",nan,nan,6.543717680495796
6,6,https://www.goodreads.com/book/show/7728889-the-diviners,7728889.0,The Diviners,6,Libba Bray,3.93,90532,90532,578,2012.0,True,"Fantasy, Young Adult, Historical, Historical Fiction, Fantasy, Paranormal, Mystery, Historical, Horror, Fiction, Audiobook, Fantasy, Supernatural","Bram Stoker Award Nominee for Best Young Adult Novel (2012), Locus Award Nominee for Best Young Adult Book (2013), The Inky Awards Nominee for Silver Inky (2013), Andre Norton Award Nominee (2012), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), The Inky Awards Shortlist for Silver Inky (2013)","New York City, New York",5.082678719456835
7,8,https://www.goodreads.com/book/show/55403.Black_Hawk_Down,55403.0,Black Hawk Down: A Story of Modern War,1,Mark Bowden,4.28,56146,56146,386,1999.0,False,"History, Nonfiction, War, Military Fiction, War, Military, Military History, Cultural, Africa, North American Hi..., American History, Historical, Politics, Eastern Africa, Somalia",National Book Award Finalist for Nonfiction (1999),Mogadishu,6.105405992184108
8,9,https://www.goodreads.com/book/show/7198988-dark-flame,7198988.0,Dark Flame,0,Alyson Noel,3.73,59284,59284,320,2010.0,True,"Young Adult, Fantasy, Fantasy, Paranormal, Romance, Fantasy, Supernatural, Fiction, Romance, Paranormal Romance, Fantasy, Magic, Fantasy, Urban Fantasy, Paranormal, Vampires",nan,"Laguna Beach, California",4.498263135041251
9,10,https://www.goodreads.com/book/show/59264.Ptolemy_s_Gate,59264.0,Ptolemy's Gate,3,Jonathan Stroud,4.26,80562,80562,501,2005.0,True,"Fantasy, Young Adult, Fiction, Fantasy, Magic, Fantasy, Urban Fantasy, Adventure, Young Adult, Young Adult Fantasy, Childrens, Middle Grade, Childrens, Audiobook","Locus Award Nominee for Best Young Adult Novel (2006), Mythopoeic Fantasy Award for Children's Literature (2006), Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2006)",United Kingdom,6.0469644337425486
10,12,https://www.goodreads.com/book/show/11925514-code-name-verity,11925514.0,Code Name Verity,13,Elizabeth Wein,4.02,102815,102815,452,2012.0,True,"Historical, Historical Fiction, Young Adult, Fiction, Historical, War, War, World War II, Audiobook, Young Adult, Teen, Mystery, Adventure","Agatha Award Nominee for Best Children's/Young Adult Novel (2012), Edgar Award for Best Young Adult (2013), Michael L. Printz Award Nominee (2016), Rhode Island Teen Book Award Nominee (2014), Milwaukee County Teen Book Award Nominee (2013), Boston Globe-Horn Book Award Nominee for Fiction (2012), The Inky Awards Nominee for Silver Inky (2013), Lincoln Award Nominee (2015), Scottish Children's Book Award Nominee for Older Readers (2012), North East Teenage Book Award Nominee (2012), Goodreads Choice Award Nominee for Young Adult Fiction (2012), Carnegie Medal Nominee (2013), The Inky Awards Shortlist for Silver Inky (2013)","England, Ormaie, France",5.345665732443846
11,13,https://www.goodreads.com/book/show/4835.Haroun_and_the_Sea_of_Stories,4835.0,Haroun and the Sea of Stories,1,Salman Rushdie,4.01,30007,30007,224,1990.0,True,"Fantasy, Fiction, Young Adult, Magical Realism, Childrens, Cultural, India, Literature, Novels, Classics, Adventure",Mythopoeic Fantasy Award for Children's Literature (1992),nan,5.316444953223068
12,14,https://www.goodreads.com/book/show/9593.Gal_pagos,9593.0,Galápagos,1,Kurt Vonnegut Jr.,3.86,71923,71923,324,1985.0,False,"Fiction, Science Fiction, Classics, Humor, Literature, Novels, Literature, American, Fantasy, Science Fiction, Dystopia, Apocalyptic, Post Apocalyptic",John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1986),"Ecuador, Galapagos",4.87813326491138
13,15,https://www.goodreads.com/book/show/43037.The_Call_of_the_Wild_White_Fang_and_Other_Stories,43037.0,"The Call of the Wild, White Fang and Other Stories",0,Jack London,4.02,21104,21104,400,1906.0,False,"Classics, Fiction, Literature, Short Stories, Adventure, Animals, Literature, American, Young Adult, Childrens, Literature, 20th Century",nan,Alaska,5.345665732443846
14,16,https://www.goodreads.com/book/show/89723.The_Lottery_and_Other_Stories,89723.0,The Lottery and Other Stories,0,Shirley Jackson,4.06,65746,65746,302,1949.0,False,"Short Stories, Fiction, Horror, Classics, Gothic, Literature, Literature, American, Audiobook, Anthologies, Literature, 20th Century",nan,nan,5.462548849326963
15,17,https://www.goodreads.com/book/show/59715.The_Authoritative_Calvin_and_Hobbes,59715.0,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,0,Bill Watterson,4.71,21650,21650,254,1990.0,False,"Sequential Art, Comics, Humor, Sequential Art, Graphic Novels, Fiction, Graphic Novels Comics, Childrens, Sequential Art, Comic Strips, Humor, Comedy, Comics, Comic Book, Classics",nan,nan,7.361899498677614
16,18,https://www.goodreads.com/book/show/447.Moon_Palace,447.0,Moon Palace,0,Paul Auster,3.95,21667,21667,320,1989.0,False,"Fiction, Literature, American, Contemporary, Novels, Literature, The United States Of America, Classics, Literature, 20th Century, Drama, Roman",nan,nan,5.141120277898394
17,19,https://www.goodreads.com/book/show/16429619-the-kiss-of-deception,16429619.0,The Kiss of Deception,1,Mary E. Pearson,3.98,99075,99075,492,2014.0,True,"Fantasy, Young Adult, Romance, Young Adult, Young Adult Fantasy, Fiction, Fantasy, High Fantasy, Adventure, Fantasy, Magic, Audiobook, Science Fiction, Dystopia",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),nan,5.228782615560731
