iter	Logloss
0	0.6635413815
1	0.6386879733
2	0.6144813556
3	0.5951685521
4	0.5739500944
5	0.5573940364
6	0.5418048879
7	0.527366236
8	0.5151415746
9	0.5045560594
10	0.4946118474
11	0.4860382676
12	0.4798636095
13	0.4712544618
14	0.4637079274
15	0.4574059967
16	0.452318744
17	0.446623695
18	0.4418111808
19	0.4367876204
20	0.4328948819
21	0.4287820926
22	0.4246351684
23	0.4216593144
24	0.4184566199
25	0.4158234396
26	0.413093137
27	0.4104799918
28	0.4076461843
29	0.4058115231
30	0.4039010068
31	0.4024085188
32	0.4009509154
33	0.3988654661
34	0.3983176807
35	0.3973992196
36	0.3957379051
37	0.3939332691
38	0.3926642177
39	0.3921658905
40	0.3907368877
41	0.3904453665
42	0.3890575464
43	0.3881897671
44	0.3875434602
45	0.3866563401
46	0.3856109002
47	0.3845982037
48	0.3835992351
49	0.3828467024
50	0.3817909966
51	0.3805864122
52	0.3792352035
53	0.3782519647
54	0.376827423
55	0.3760815657
56	0.3749366759
57	0.3740906887
58	0.3727245386
59	0.3723469576
60	0.3712050271
61	0.3706170027
62	0.3702978757
63	0.3697838252
64	0.3687795191
65	0.3681883122
66	0.3676959102
67	0.3673143507
68	0.3666364156
69	0.3664939264
70	0.3655386106
71	0.3644949072
72	0.3638551807
73	0.3633265502
74	0.3627933971
75	0.3622268204
76	0.3615621488
77	0.3611951222
78	0.3609440509
79	0.359856945
80	0.3591100001
81	0.3582524059
82	0.3570671589
83	0.3565232231
84	0.3560092479
85	0.3552908294
86	0.3547304853
87	0.3545304305
88	0.3544518543
89	0.354116428
90	0.353835903
91	0.3532070644
92	0.3527878029
93	0.3526027125
94	0.3520986988
95	0.3515363479
96	0.35075125
97	0.3501897374
98	0.349814886
99	0.3494038996
