iter	Passed	Remaining
0	2	217
1	4	205
2	6	221
3	9	218
4	10	201
5	12	201
6	14	195
7	16	184
8	18	187
9	20	184
10	22	181
11	24	179
12	25	169
13	27	166
14	28	163
15	30	162
16	32	160
17	34	159
18	37	157
19	38	155
20	40	153
21	42	151
22	44	150
23	46	148
24	48	146
25	51	145
26	52	142
27	54	140
28	57	139
29	58	135
30	60	134
31	64	137
32	67	136
33	70	136
34	71	132
35	74	132
36	77	131
37	79	130
38	82	128
39	83	125
40	86	124
41	87	120
42	89	118
43	91	116
44	93	113
45	95	112
46	97	110
47	100	108
48	102	106
49	104	104
50	106	101
51	108	100
52	110	98
53	112	95
54	114	93
55	116	91
56	118	89
57	119	86
58	122	85
59	124	83
60	126	80
61	128	78
62	130	76
63	132	74
64	134	72
65	136	70
66	138	68
67	140	66
68	142	64
69	143	61
70	145	59
71	146	57
72	150	55
73	151	53
74	153	51
75	155	49
76	157	47
77	161	45
78	162	43
79	164	41
80	167	39
81	169	37
82	171	35
83	173	33
84	175	31
85	178	29
86	180	26
87	182	24
88	184	22
89	185	20
90	187	18
91	189	16
92	191	14
93	193	12
94	195	10
95	196	8
96	198	6
97	200	4
98	202	2
99	204	0
