iter	RMSE
0	0.8779253004
1	0.8711595741
2	0.8665294166
3	0.8634552825
4	0.8609583663
5	0.8588717496
6	0.8574150583
7	0.8560886411
8	0.8543982535
9	0.853176008
10	0.8518572652
11	0.8510674138
12	0.8500393915
13	0.8489219084
14	0.8478301795
15	0.847005179
16	0.8462889742
17	0.8454859571
18	0.8446105982
19	0.8437132946
20	0.8426968434
21	0.8418728969
22	0.8409270169
23	0.8401361566
24	0.8392494753
25	0.8386402755
26	0.837842646
27	0.837020434
28	0.8359310522
29	0.8348713992
30	0.833968133
31	0.8332359155
32	0.8320798498
33	0.8313533138
34	0.8306413463
35	0.8299457341
36	0.8288578162
37	0.8276669375
38	0.8267557529
39	0.825858585
40	0.8251622091
41	0.8243608372
42	0.8235415179
43	0.8228626957
44	0.8220378763
45	0.8209613906
46	0.820306498
47	0.8194709994
48	0.818505111
49	0.8178488272
50	0.8169570967
51	0.8161380442
52	0.8156501502
53	0.8146873414
54	0.8138406434
55	0.8132472403
56	0.812685519
57	0.8118271446
58	0.8109334084
59	0.8098137764
60	0.8089936116
61	0.8084800158
62	0.8078037903
63	0.8071255329
64	0.8062534769
65	0.8056756472
66	0.8049202434
67	0.8040373552
68	0.8033460254
69	0.8027479466
70	0.8023218686
71	0.8015983511
72	0.800991997
73	0.800229959
74	0.7994708811
75	0.7987534037
76	0.7979498044
77	0.797313917
78	0.7967068023
79	0.7958585703
80	0.7951124234
81	0.7945433649
82	0.7939566417
83	0.7934300315
84	0.7924164916
85	0.7914942551
86	0.7910013807
87	0.7902760937
88	0.789598361
89	0.788828095
90	0.7880864859
91	0.7874230911
92	0.7867416317
93	0.7861468249
94	0.7855377018
95	0.785039866
96	0.7844878026
97	0.7840607941
98	0.7834880485
99	0.7830459218
