iter	Passed	Remaining
0	562	55665
1	576	28270
2	589	19067
3	603	14485
4	618	11748
5	633	9931
6	650	8640
7	667	7673
8	681	6893
9	695	6261
10	709	5740
11	721	5291
12	735	4925
13	754	4636
14	771	4371
15	787	4135
16	802	3917
17	817	3723
18	831	3545
19	848	3393
20	866	3258
21	882	3130
22	900	3013
23	922	2921
24	942	2826
25	960	2733
26	979	2647
27	993	2555
28	1008	2469
29	1021	2384
30	1037	2308
31	1053	2238
32	1065	2164
33	1079	2096
34	1093	2031
35	1106	1967
36	1122	1911
37	1138	1857
38	1152	1803
39	1165	1747
40	1178	1695
41	1195	1650
42	1212	1607
43	1227	1562
44	1243	1519
45	1258	1477
46	1274	1436
47	1289	1397
48	1304	1357
49	1321	1321
50	1337	1284
51	1356	1252
52	1372	1217
53	1387	1182
54	1507	1233
55	1524	1197
56	1543	1164
57	1559	1129
58	1579	1097
59	1594	1062
60	1609	1029
61	1633	1001
62	1649	968
63	1664	936
64	1687	908
65	1703	877
66	1719	847
67	1736	817
68	1752	787
69	1767	757
70	1785	729
71	1804	701
72	1822	673
73	1840	646
74	1857	619
75	1873	591
76	1891	565
77	1909	538
78	1930	513
79	1947	486
80	1964	460
81	1980	434
82	1996	408
83	2011	383
84	2026	357
85	2040	332
86	2055	307
87	2070	282
88	2088	258
89	2104	233
90	2119	209
91	2133	185
92	2147	161
93	2163	138
94	2179	114
95	2194	91
96	2209	68
97	2224	45
98	2238	22
99	2253	0
